t,S_obs,E_obs,I_obs,R_obs,S_true,E_true,I_true,R_true
0.0,1.289760446625419,0.00530930793139527,0.0057906735230835085,0.00013995265206459147,0.9899,0.005,0.005,0.0001
0.006,1.3099334666491538,0.004320770873200828,0.005766534626094778,0.00010010148674040172,0.9898940602611642,0.005002938857124371,0.0050006007375933805,0.0001024001441180241
0.012,0.9746798895841784,0.005323879801702912,0.00511043745950276,0.00013034702319549742,0.9898881198434976,0.005005876630090734,0.005001202949467743,0.00010480057694397465
0.018000000000000002,1.1095852584507861,0.0051010697747864535,0.005346160602772086,0.00011270339185766528,0.9898821787452622,0.005008813321286651,0.005001806634265979,0.00010720129918518085
0.024,1.2385440098776215,0.004859867640406622,0.005242928988872412,9.642293653411617e-05,0.9898762369647215,0.005011748933097391,0.005002411790632544,0.00010960231154850394
0.03,0.6749411126266898,0.005531245917364736,0.005695673454562364,0.00010020382806671428,0.9898702945001405,0.005014683467905449,0.00500301841721377,0.0001120036147402263
0.036000000000000004,1.3913518514509797,0.004034168684222246,0.005038088426371414,0.00011123766491069339,0.9898643513497866,0.0050176169280886,0.005003626512659144,0.00011440520946560267
0.042,1.245732254638067,0.0062585164531081495,0.005121907266779439,0.0001236244330132471,0.9898584075119289,0.005020549316021587,0.005004236075620198,0.00011680709642924951
0.048,0.866435823697896,0.00373222129038077,0.004750358274441011,0.00012203805454219133,0.9898524629848382,0.005023480634076159,0.005004847104750488,0.00011920927633515282
0.054,1.1904581364860516,0.0060198549534089115,0.004722933986803614,0.0001162203757384905,0.9898465177667867,0.005026410884621065,0.005005459598705597,0.00012161174988666822
0.06,0.8457814110704948,0.0040644811079236605,0.003875642121704903,0.0001661705959277389,0.9898405718560482,0.00502934007002206,0.005006073556143128,0.00012401451778652094
0.066,0.9169840300840287,0.004712222523855277,0.004148950910026829,0.00014205497257897853,0.9898346252508985,0.005032268192641902,0.00500668897572271,0.00012641758073680574
0.07200000000000001,0.7770053209731344,0.00487705357984589,0.004377938856857131,0.0001365183104909612,0.9898286779496146,0.005035195254840351,0.005007305856105996,0.00012882093943898703
